spotify:artist:1HwM5zlC5qNWhJtM00yXzG	DMX
spotify:artist:5cj0lLjcoR7YOSnhnX0Po5	Doja Cat
spotify:artist:6IOvhXyk5edbA2DVaeP9Up	Dorothy
spotify:artist:6DPYiyq5kWVQS4RGwxzPC7	Dr. Dre
spotify:artist:3TVXtAsR1Inumwj472S9r4	Drake
spotify:artist:4LOM7NzyrZvlGSYPFDsnTk	Dylan
spotify:artist:1y20PpXw0yeuJ1avCD0Ob9	Eamon
spotify:artist:6SnMMbLQ4iS8WIyt3ksmCR	Echos
spotify:artist:7nDsS0l5ZAzMedVRKPP8F1	Ella Henderson
spotify:artist:67MNhiAICFY6Pwc2YxCO0K	Elley Duhé
spotify:artist:0X2BH1fck6amBIoJhDVmmJ	Ellie Goulding
spotify:artist:5hNiAUVPCTgcpy8vljCxzs	Ellie Holcomb
spotify:artist:7sfgqEdoeBTjd8lQsPT3Cy	Emeli Sandé
spotify:artist:7dGJo4pcD2V6oG8kP0tJRR	Eminem
spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R	Eric Prydz
spotify:artist:6Vh6UDWfu9PUSXSzAaB3CW	Example
spotify:artist:6Q6wl4T5osps79OPDuLjNJ	Extreme Music
spotify:artist:0YWxKQj2Go9CGHCp77UOyy	Fabolous
spotify:artist:6GbCJZrI318Ybm8mY36Of5	Faith No More
spotify:artist:698hF4vcwHwPy8ltmXermq	Far East Movement
spotify:artist:5GqAhBdaiG5StP2EHhmw8B	Fenech-Soler
spotify:artist:1nhSLEYdoBHG6cJ8NDwoF1	Fickle Friends
spotify:artist:08GQAI4eElDnROBrJRGE0X	Fleetwood Mac
spotify:artist:0jnsk9HBra6NMjO2oANoPY	Flo Rida
spotify:artist:0un6YenPxWZ2VW4aFGMupM	Floetry
spotify:artist:1moxjboGR7GNWYIMWsRjgG	Florence + The Machine
spotify:artist:6nxWCVXbOlEVRexSbLsTer	Flume
spotify:artist:7jy3rLJdDQY21OgRLCZ9sD	Foo Fighters
spotify:artist:0sQ1wgSdRpoysgsa1VnI4G	Foreign Beggars
spotify:artist:1wvlC6NwleHt1iRD6d5X2C	Foxy Brown
spotify:artist:6ByJNOVJEHXUhJIkpQNBh4	Frankee
spotify:artist:49H2dQUNhIlso7VNkS8nFR	Freemasons
spotify:artist:6vXTefBL93Dj5IqAWq6OTv	French Montana
spotify:artist:5pDjmC5mRl7vDJhsjVwNfk	Freya Ridings
spotify:artist:2WKdxPFRD7IqZvlIAvhMgY	Fugees
spotify:artist:02kJSzxNuaWGqwubyUba0Z	G-Eazy
spotify:artist:6evKD5JWJON3qPBJtUEmtY	G-Unit
spotify:artist:6S0GHTqz5sxK5f9HtLXn9q	Garbage
spotify:artist:3hteYQFiMFbJY7wS0xDymP	Gesaffelstein
spotify:artist:5d7p9yDO6NSYQVbI9YNcHB	Gia Lily
spotify:artist:4whxX965DKKqYkXmk33b4E	Guano Apes
spotify:artist:3qm84nBOXUEQ2vnTfUTTFC	Guns N' Roses
spotify:artist:4yiQZ8tQPux8cPriYMWUFP	Gwen Stefani
spotify:artist:26VFTg2z8YR0cCuwLzESi2	Halsey
spotify:artist:3LjhVl7GzYsza1biQjTpaN	Hayley Kiyoko
spotify:artist:4JNfz6aO9ZFz0gp5GY88am	Hey Violet
spotify:artist:6BMhCQJYHxxKAeqYS1p5rY	Hinder
spotify:artist:2FXC3k01G6Gw61bmprjgqS	Hozier
spotify:artist:3Mcii5XWf6E0lrY3Uky4cA	Ice Cube
spotify:artist:0eGh2jSWPBX5GuqIHoZJZG	ICE-T
spotify:artist:1xdB9gS1NrKEYgZUEfoqIw	Idlewild
spotify:artist:53XhwfbYqKCa1cC15pYq2q	Imagine Dragons
spotify:artist:3YcBF2ttyueytpXtEzn1Za	Incubus
spotify:artist:7Gf3LSwa5hh8Cjo60WhVjC	India.Arie
spotify:artist:5arKwJZEvT5uKq4o0JfqR4	Isabel LaRosa
spotify:artist:6l3HvQ5sa6mXTsMTB19rO5	J. Cole
spotify:artist:1J2VVASYAamtQ3Bt8wGgA6	Ja Rule
spotify:artist:0qLNsNKm8bQcMoRFkR8Hmh	James
spotify:artist:6J7biCazzYhU3gM9j1wfid	Jamiroquai
spotify:artist:07YZf4WDAMNwqr4jfgOZ8y	Jason Derulo
spotify:artist:4Q6nIcaBED8qUel8bBx6Cr	Jax Jones
spotify:artist:3nFkdlSjzX9mRTtwJOzDYB	JAY-Z
spotify:artist:593TG88zhlcUxEYmhMYeIG	Jazzystics
spotify:artist:4yBK75WVCQXej1p04GWqxH	Jeezy
spotify:artist:2DlGxzQSjYe5N6G9nkYghR	Jennifer Lopez
spotify:artist:3KV3p5EY4AvKxOlhGHORLg	Jeremih
spotify:artist:4ScCswdRlyA23odg9thgIO	Jess Glynne
spotify:artist:2gsggkzM5R49q6jpPvazou	Jessie J
spotify:artist:5ypxebeHEIXjMtJb17uJlI	Jet
spotify:artist:1eNkUXHPaXyuyC8NAgzykK	Jodeci
spotify:artist:24Cf1irKt7kcewb9OOkPum	Joyce Wrice
spotify:artist:5gCRApTajqwbnHHPbr2Fpi	Juicy J
